Time (s),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (m),w,x,y,z,Direct (°),Yaw (°),Pitch (°),Roll (°),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2)
90.83001078,20.871845,73.83505833,10480.52314,236.2477264,221.3500061,2.599999905,15.89999962,,,,,,,,,,,,,,,,,
91.8320747,20.87024333,73.83356333,10479.92698,236.1005096,221.2400055,2.599999905,16.39999962,,,,,,,,,,,,,,,,,
92.83163193,20.86864167,73.83207167,10479.73082,236.0953674,221.2100067,2.599999905,16.60000038,,,,,,,,,,,,,,,,,
93.8303227,20.86704,73.83058167,10479.53466,236.0742645,221.25,2.599999905,17.39999962,,,,,,,,,,,,,,,,,
94.83110824,20.86543833,73.82908667,10479.53849,236.2693329,221.2400055,2.599999905,18.0,,,,,,,,,,,,,,,,,
95.83240124,20.86383667,73.82759333,10478.84233,236.2327881,221.1900024,2.700000048,18.70000076,,,,,,,,,,,,,,,,,
96.83011624,20.86222833,73.82610667,10478.24619,236.0475006,221.1100006,2.799999952,19.79999924,,,,,,,,,,,,,,,,,
97.83211439,20.86062667,73.82462,10477.75003,236.046463,221.25,2.700000048,20.10000038,,,,,,,,,,,,,,,,,
98.83194547,20.85902167,73.82313,10475.65387,236.5689087,221.2100067,2.700000048,18.60000038,,,,,,,,,,,,,,,,,
99.83044678,20.85741333,73.82163667,10476.15772,236.5858917,221.2799988,2.599999905,18.29999924,,,,,,,,,,,,,,,,,
100.8323059,20.85581,73.82013833,10476.66154,236.810318,221.2200012,2.599999905,18.89999962,,,,,,,,,,,,,,,,,
101.8348631,20.854205,73.81864333,10476.96537,236.4690552,221.1600037,2.599999905,17.10000038,,,,,,,,,,,,,,,,,
102.8296369,20.85259667,73.81715833,10475.56923,236.7171478,221.0800018,2.599999905,17.29999924,,,,,,,,,,,,,,,,,
103.830831,20.85099167,73.815665,10476.17306,236.2749939,221.1999969,2.599999905,18.10000038,,,,,,,,,,,,,,,,,
104.8316892,20.849385,73.814175,10475.8769,236.3583832,221.1999969,2.599999905,18.20000076,,,,,,,,,,,,,,,,,
105.8305735,20.84778167,73.81268,10476.98071,236.0948486,221.2799988,2.599999905,17.5,,,,,,,,,,,,,,,,,
106.8310409,20.84617167,73.81119,10476.58456,236.8000183,221.0399933,2.599999905,17.29999924,,,,,,,,,,,,,,,,,
107.8335227,20.844565,73.80969833,10476.48839,236.3465424,221.1900024,2.599999905,17.79999924,,,,,,,,,,,,,,,,,
108.8287732,20.84295833,73.80820833,10475.59222,236.2014008,221.1399994,2.599999905,17.10000038,,,,,,,,,,,,,,,,,
109.830923,20.84135,73.80671667,10475.29605,237.0558319,221.0899963,2.599999905,17.10000038,,,,,,,,,,,,,,,,,
110.8334597,20.83974,73.805225,10474.99989,236.6893463,221.0500031,2.599999905,17.20000076,,,,,,,,,,,,,,,,,
111.8303966,20.83813,73.80373333,10475.30373,236.4798584,221.0700073,2.599999905,17.10000038,,,,,,,,,,,,,,,,,
112.8316739,20.83652,73.80224167,10475.20756,236.5694275,221.1600037,2.599999905,17.70000076,,,,,,,,,,,,,,,,,
113.8338188,20.83491333,73.800745,10474.01137,236.5658112,221.1699982,2.599999905,18.29999924,,,,,,,,,,,,,,,,,
114.8290519,20.83330667,73.79925,10473.91519,236.5493469,221.1699982,2.599999905,19.20000076,,,,,,,,,,,,,,,,,
115.8301015,20.83170167,73.797755,10473.31899,236.5869293,221.1199951,2.599999905,17.60000038,,,,,,,,,,,,,,,,,
116.8306163,20.830095,73.79625667,10473.0228,236.9539185,221.1000061,2.599999905,17.5,,,,,,,,,,,,,,,,,
117.8308339,20.828485,73.79476167,10474.02662,236.4551544,221.1499939,2.599999905,17.29999924,,,,,,,,,,,,,,,,,
118.8311701,20.82688167,73.793265,10473.83041,236.4258118,221.2599945,2.599999905,17.29999924,,,,,,,,,,,,,,,,,
119.8336344,20.82528167,73.79177167,10473.33419,236.1401367,221.1499939,2.700000048,16.89999962,,,,,,,,,,,,,,,,,
120.8290674,20.82367667,73.79028,10472.43799,236.4860382,221.1600037,2.599999905,17.0,,,,,,,,,,,,,,,,,
121.8306172,20.82207,73.78878667,10472.5418,236.4711151,221.1300049,2.599999905,17.60000038,,,,,,,,,,,,,,,,,
122.8314043,20.820465,73.78729167,10473.14559,236.6286163,221.1499939,2.599999905,18.29999924,,,,,,,,,,,,,,,,,
123.8304212,20.818865,73.78579667,10475.04936,235.9620514,221.1600037,2.599999905,17.60000038,,,,,,,,,,,,,,,,,
124.8309387,20.81726167,73.784305,10474.65315,236.2960968,221.2899933,2.599999905,16.39999962,,,,,,,,,,,,,,,,,
125.8328845,20.81565667,73.78281,10474.55694,236.8041382,221.1199951,2.5,16.5,,,,,,,,,,,,,,,,,
126.8291637,20.81404333,73.78131833,10475.06076,236.8283234,221.0899963,2.599999905,18.10000038,,,,,,,,,,,,,,,,,
127.8301382,20.81243667,73.779825,10475.16455,236.0258789,221.0899963,2.599999905,19.20000076,,,,,,,,,,,,,,,,,
128.8315842,20.81083333,73.77833667,10474.66833,236.2873535,221.0899963,2.700000048,17.79999924,,,,,,,,,,,,,,,,,
129.8300738,20.80922667,73.776845,10473.67212,236.8870087,221.0899963,2.700000048,17.20000076,,,,,,,,,,,,,,,,,
130.8310845,20.80761333,73.77535,10473.97593,236.7747955,221.1999969,2.700000048,16.70000076,,,,,,,,,,,,,,,,,
131.8331375,20.80600667,73.77385667,10474.97971,236.4047089,221.2299957,2.700000048,16.29999924,,,,,,,,,,,,,,,,,
132.8294375,20.80440167,73.772365,10475.28349,236.5781708,221.1799927,2.700000048,16.89999962,,,,,,,,,,,,,,,,,
133.82994,20.80279667,73.770875,10475.48727,236.699646,221.1300049,2.700000048,16.79999924,,,,,,,,,,,,,,,,,
134.8300797,20.80118833,73.76938667,10474.99106,236.5066223,220.9900055,2.700000048,16.5,,,,,,,,,,,,,,,,,
135.8299619,20.79957833,73.76789333,10475.09485,237.1036987,220.9600067,2.700000048,16.60000038,,,,,,,,,,,,,,,,,
136.8310539,20.79797167,73.76640167,10475.09863,236.9765625,221.0800018,2.799999952,16.70000076,,,,,,,,,,,,,,,,,
137.8325885,20.79636833,73.76490833,10475.20239,236.2214661,221.2200012,2.700000048,17.29999924,,,,,,,,,,,,,,,,,
138.828952,20.794765,73.76341667,10475.10615,236.0150604,221.1699982,2.700000048,18.20000076,,,,,,,,,,,,,,,,,
139.8309489,20.79315667,73.76192833,10474.60993,236.4335327,221.0200043,2.700000048,18.79999924,,,,,,,,,,,,,,,,,
140.8306769,20.79154333,73.76043333,10475.91372,236.2611084,221.1900024,2.700000048,18.79999924,,,,,,,,,,,,,,,,,
141.8299791,20.78993833,73.75893667,10476.71748,236.735672,221.1300049,2.599999905,18.39999962,,,,,,,,,,,,,,,,,
142.8305043,20.78833,73.75744167,10477.62124,236.7521515,221.1699982,2.599999905,18.39999962,,,,,,,,,,,,,,,,,
143.8317483,20.78672833,73.75594833,10477.12499,236.5375061,221.0200043,2.599999905,18.79999924,,,,,,,,,,,,,,,,,
144.8290634,20.78512,73.75445667,10478.82876,236.888031,221.0299988,2.599999905,19.5,,,,,,,,,,,,,,,,,
145.8315252,20.78351333,73.75296,10478.23251,236.9729614,221.1399994,2.599999905,20.29999924,,,,,,,,,,,,,,,,,
146.8303602,20.78190167,73.75147167,10478.43629,236.4587555,220.9299927,2.599999905,20.29999924,,,,,,,,,,,,,,,,,
147.8305394,20.78029333,73.74999333,10477.54007,235.8874207,221.0399933,2.599999905,20.89999962,,,,,,,,,,,,,,,,,
148.8310237,20.77868667,73.748495,10476.64382,237.4640045,220.9400024,2.599999905,21.20000076,,,,,,,,,,,,,,,,,
149.8339951,20.77707333,73.74700333,10476.64759,237.0867157,221.2599945,2.599999905,20.0,,,,,,,,,,,,,,,,,
150.8304372,20.775465,73.74550333,10476.25134,237.3502502,221.1799927,2.599999905,16.29999924,,,,,,,,,,,,,,,,,
151.8311375,20.77385667,73.74400667,10476.15509,237.3116455,221.25,2.599999905,15.80000019,,,,,,,,,,,,,,,,,
152.8321535,20.77224833,73.74251,10476.35884,237.3456268,221.0700073,2.700000048,16.39999962,,,,,,,,,,,,,,,,,
153.8302156,20.770635,73.74101333,10475.3626,237.5823975,221.1999969,2.700000048,17.20000076,,,,,,,,,,,,,,,,,
154.8321019,20.76903,73.739515,10474.06633,237.1407623,221.1999969,2.700000048,17.89999962,,,,,,,,,,,,,,,,,
155.8325661,20.76742667,73.73802,10472.47006,236.9997253,221.1300049,2.599999905,18.39999962,,,,,,,,,,,,,,,,,
156.8300753,20.76581667,73.73652333,10471.1738,237.5849762,221.0899963,2.599999905,19.0,,,,,,,,,,,,,,,,,
